RespondentID;Unique respondent identifer
Q_PhoneService_Cat;Telephone service for the household
Q_HHsize;Household size (including children)
Q_HH01;Number of HH members age 0-1
Q_HH25;Number of HH members age 2-5
Q_HH612;Number of HH members age 6-12
Q_HH1317;Number of HH members age 13-17
Q_Children;Number of HH members aged 0 to 17
Q_Adults;Number of HH members age 18+
RecordedDate;Recorded Date
BlockType;"=1 for varying WQ blocks; =2 for varying spatial unit blocks"
Counter;Number of scenarios voted on by respondent, 6 to 10
HUC4;4-digit HUC containing respondent's residence
HUC4_NL;assigned HUC4 for non-local HUC4 scenarios
HUC4Area;Land area, in square miles, for local HUC4
HUC4Area_NL;Land area, in square miles for non-local HUC4 scenarios
HUC4BCG_1up;Average BCG score in home HUC4, 1up scenario
HUC4BCG_1up_NL;Average BCG score in nonlocal HUC4, 1up scenario
HUC4BCG_base;Average BCG score in home HUC4, baseline
HUC4BCG_base_NL;Average BCG score in nonlocal HUC4, baseline
HUC4BCG_scenario1;Average BCG score in home HUC4, scenario1
HUC4BCG_scenario1_NL;Average BCG score in nonlocal HUC4, scenario1
HUC4BCG_scenario2;Average BCG score in home HUC4, scenario2
HUC4BCG_scenario2_NL;Average BCG score in nonlocal HUC4, scenario2
HUC4BCG_scenario3;Average BCG score in home HUC4, scenario3
HUC4BCG_scenario3_NL;Average BCG score in nonlocal HUC4, scenario3
HUC8;8-digit HUC containing respondent's residence
HUC8Area;Land area, in square miles for local HUC8
HUC8BCG;BCG score for respondent's home HUC8
HUC8BCG_1up;Average BCG score in home HUC4, (local) 1up scenario
HUC8BCG_base;BCG score for respondent's home HUC8, baseline
HUC8BCG_scenario1;Average BCG score in home HUC8, scenario1
HUC8BCG_scenario2;Average BCG score in home HUC8, scenario2
HUC8BCG_scenario3;Average BCG score in home HUC8, scenario3
Medium;"ID for local medium grouping; 1 to 10"
Medium_NL;"ID for non-local medium grouping; 1 to 10"
MediumArea;Land area, in square miles, for medium grouping
MediumArea_NL;Land area, in square miles, for non-local Medium sceanrios
MediumBCG_1up;Average BCG score in Medium area, (local) 1up scenario
MediumBCG_1up_NL;Average BCG score in Medium area, (local) 1up scenario
MediumBCG_base;Average BCG score in Medium area, baseline
MediumBCG_base_NL;Average BCG score in Medium area, baseline
MediumBCG_scenario1;Average BCG score in local Medium area, scenario1
MediumBCG_scenario1_NL;Average BCG score in nonlocal Medium area, scenario1
MediumBCG_scenario2;Average BCG score in local Medium area, scenario2
MediumBCG_scenario2_NL;Average BCG score in nonlocal Medium area, scenario2
MediumBCG_scenario3;Average BCG score in local Medium area, scenario3
MediumBCG_scenario3_NL;Average BCG score in nonlocal Medium area, scenario3
RedundantFlag;Used to skip redundant local scenarios in survey
RedundantFlag_NL;Used to skip redundant non-local scenarios in survey
Counter_Block1;Number of referenda voted on in first block, 1 to 5
Home_State;Two-digit State ID code
PercentInstate;For local HUC4 scenarios, % of land in-state
PercentInstate_NL;For non-local HUC4 scenarios, % of land in-state
PercentInstate_Medium_NL;For non-local medium scenarios, % of land in-state
PercentInstate_Medium;For local Medium scenarios, % of land in-state
Distance;Distance (miles) between zipcode and local HUC4
Distance_NL;Distance (miles) between zipcode and non-local HUC4
Referendum;"Valuation scenario as defined by Spatial_Unit and WQ change; 1 to 20"
Cost;Cost to household for policy scenario
Vote;"=1 for 'yes' vote; =0 for 'no' vote"
Order;Order in which respondent voted on referendum, 1 to 10
Block1;"=1 if referendum part of first block faced; =0 otherwise"
ChoiceID;ID number unique to choice set and respondent
SQ;=1 if status quo option
ASC;=1 if policy alternative (i.e., alternative specific constant)
Ncost;Negative of the variable 'Cost'
Spatial_Unit;1 local HUC4, 2 local Medium, 3 Full area, 4 non-local HUC4, 5 non-local Medium
NL;"=1 for non-local change scenario; =1 if Spatial_Unit=4 or 5"
ASC_PercentInstate;'ASC' x 'PercentInstate'
ASC_PercentInstate_NL;'ASC' x 'PercentInstate_NL'
WQ_HUC8;"Water quality in local subwatershed; attribute in DCE"
WQ_HUC4;"Water quality (BCG) in local watershed; attribute in DCE"
WQ_Medium;"Water quality (BCG) in local 'medium' area; attribute in DCE"
WQ_Large;"Water quality (BCG) in full study area; attribute in DCE"
WQ_HUC4_NL;"Water quality (BCG) in non-local watershed; attribute in DCE"
WQ_Medium_NL;"Water quality (BCG) in non-local 'medium' area; attribute in DCE"
Q_Educ_1;Q_Educ_Cat==Less than HS
Q_Educ_2;Q_Educ_Cat==HS graduate or equivalent
Q_Educ_3;Q_Educ_Cat==Vocational/tech school/some college/ associates
Q_Educ_4;Q_Educ_Cat==Bachelor's degree
Q_Educ_5;Q_Educ_Cat==Post grad study/professional degree
Q_Race_1;Q_Race==White non-Hispanic
Q_Race_2;Q_Race==Black non-Hispanic
Q_Race_3;Q_Race==Asian non-Hispanic
Q_Race_4;Q_Race==Other non-Hispanic
Q_Race_5;Q_Race==2 or more races non-Hispanic
Q_Race_6;Q_Race==Hispanic
ASC_Q_Female;Interaction between ASC and Q_Female
ASC_Q_Age;Interaction between ASC and Q_Age
ASC_Q_Educ_2;Interaction between ASC and Q_Educ_2
ASC_Q_Educ_3;Interaction between ASC and Q_Educ_3
ASC_Q_Educ_4;Interaction between ASC and Q_Educ_4
ASC_Q_Educ_5;Interaction between ASC and Q_Educ_5
ASC_Q_Race_2;Interaction between ASC and Q_Race_2
ASC_Q_Race_3;Interaction between ASC and Q_Race_3
ASC_Q_Race_4;Interaction between ASC and Q_Race_4
ASC_Q_Race_5;Interaction between ASC and Q_Race_5
ASC_Q_Race_6;Interaction between ASC and Q_Race_6
ASC_Q_Married;Interaction between ASC and Q_Married
ASC_Q_Retired;Interaction between ASC and Q_Retired
ASC_Q_Income;Interaction between ASC and Q_Income
ASC_Q_Metro;Interaction between ASC and Q_Metro
ASC_Q_HHsize;Interaction between ASC and Q_HHsize
