ChoiceID,RespondentID,Referendum,HUC8BCG,HUC4BCG_base,HUC4BCG_scenario1,HUC4BCG_scenario2,MediumBCG_base,MediumBCG_scenario1,MediumBCG_scenario2,HUC4BCG_base_NL,HUC4BCG_scenario2_NL,MediumBCG_base_NL,MediumBCG_scenario2_NL,Cost_0,Cost_1,WQ_HUC8_0,WQ_HUC8_1,WQ_HUC4_0,WQ_HUC4_1,WQ_Medium_0,WQ_Medium_1,WQ_Large_0,WQ_Large_1,WQ_HUC4_NL_0,WQ_HUC4_NL_1,WQ_Medium_NL_0,WQ_Medium_NL_1,ASC_PercentInstate_0,ASC_PercentInstate_1,ASC_PercentInstate_NL_0,ASC_PercentInstate_NL_1,choice,ASC_0,ASC_1
83,6,3,4,3.21,2,3,3.13,2,2.86,3.58,2.93,3.87,2.98,0,35,4,3,3.21,3,0,0,0,0,0,0,0,0,0,34.765198,0,0,1,0,1
84,6,4,4,3.21,2,3,3.13,2,2.86,3.58,2.93,3.87,2.98,0,50,4,4,3.21,2.42,0,0,0,0,0,0,0,0,0,34.765198,0,0,1,0,1
85,6,5,4,3.21,2,3,3.13,2,2.86,3.58,2.93,3.87,2.98,0,400,4,3,0,0,3.13,2.13,0,0,0,0,0,0,0,34.765198,0,0,1,0,1
86,6,6,4,3.21,2,3,3.13,2,2.86,3.58,2.93,3.87,2.98,0,20,4,2,0,0,3.13,2,0,0,0,0,0,0,0,34.765198,0,0,1,0,1
87,6,7,4,3.21,2,3,3.13,2,2.86,3.58,2.93,3.87,2.98,0,35,4,3,0,0,3.13,2.86,0,0,0,0,0,0,0,34.765198,0,0,1,0,1
88,6,8,4,3.21,2,3,3.13,2,2.86,3.58,2.93,3.87,2.98,0,150,4,4,0,0,3.13,2.53,0,0,0,0,0,0,0,34.765198,0,0,1,0,1
101,7,1,3,2.93,2,2.75,3.21,2,2.85,3.15,2.82,3.63,2.92,0,150,3,2,2.93,1.93,0,0,0,0,0,0,0,0,0,53.66411,0,0,0,0,1
102,7,2,3,2.93,2,2.75,3.21,2,2.85,3.15,2.82,3.63,2.92,0,35,3,2,2.93,2,0,0,0,0,0,0,0,0,0,53.66411,0,0,1,0,1
103,7,3,3,2.93,2,2.75,3.21,2,2.85,3.15,2.82,3.63,2.92,0,400,3,3,2.93,2.75,0,0,0,0,0,0,0,0,0,53.66411,0,0,0,0,1
104,7,4,3,2.93,2,2.75,3.21,2,2.85,3.15,2.82,3.63,2.92,0,20,3,2,2.93,2.36,0,0,0,0,0,0,0,0,0,53.66411,0,0,1,0,1
109,7,9,3,2.93,2,2.75,3.21,2,2.85,3.15,2.82,3.63,2.92,0,150,3,2,0,0,0,0,3.52,2.52,0,0,0,0,0,53.66411,0,0,0,0,1
110,7,10,3,2.93,2,2.75,3.21,2,2.85,3.15,2.82,3.63,2.92,0,400,3,2,0,0,0,0,3.52,2,0,0,0,0,0,53.66411,0,0,0,0,1
111,7,11,3,2.93,2,2.75,3.21,2,2.85,3.15,2.82,3.63,2.92,0,50,3,3,0,0,0,0,3.52,2.94,0,0,0,0,0,53.66411,0,0,1,0,1
112,7,12,3,2.93,2,2.75,3.21,2,2.85,3.15,2.82,3.63,2.92,0,100,3,2,0,0,0,0,3.52,3.11,0,0,0,0,0,53.66411,0,0,0,0,1
121,8,1,3,3,2,3,3.1,2,2.96,3.47,3,3.56,3,0,100,3,2,3,2,0,0,0,0,0,0,0,0,0,73.41883,0,0,0,0,1
122,8,2,3,3,2,3,3.1,2,2.96,3.47,3,3.56,3,0,200,3,2,3,2,0,0,0,0,0,0,0,0,0,73.41883,0,0,0,0,1
124,8,4,3,3,2,3,3.1,2,2.96,3.47,3,3.56,3,0,200,3,2,3,2,0,0,0,0,0,0,0,0,0,73.41883,0,0,0,0,1
137,8,17,3,3,2,3,3.1,2,2.96,3.47,3,3.56,3,0,150,0,0,0,0,0,0,0,0,0,0,3.56,2.56,0,0,0,0,0,0,1
138,8,18,3,3,2,3,3.1,2,2.96,3.47,3,3.56,3,0,150,0,0,0,0,0,0,0,0,0,0,3.56,2,0,0,0,0,0,0,1
139,8,19,3,3,2,3,3.1,2,2.96,3.47,3,3.56,3,0,10,0,0,0,0,0,0,0,0,0,0,3.56,3,0,0,0,0,0,0,1
140,8,20,3,3,2,3,3.1,2,2.96,3.47,3,3.56,3,0,75,0,0,0,0,0,0,0,0,0,0,3.56,3.08,0,0,0,0,0,0,1
145,9,5,5,3.96,2,3,3.87,2,2.98,4.53,3,3.99,3,0,75,5,4,0,0,3.87,2.87,0,0,0,0,0,0,0,62.063095,0,0,1,0,1
146,9,6,5,3.96,2,3,3.87,2,2.98,4.53,3,3.99,3,0,100,5,2,0,0,3.87,2,0,0,0,0,0,0,0,62.063095,0,0,1,0,1
147,9,7,5,3.96,2,3,3.87,2,2.98,4.53,3,3.99,3,0,75,5,3,0,0,3.87,2.98,0,0,0,0,0,0,0,62.063095,0,0,1,0,1
148,9,8,5,3.96,2,3,3.87,2,2.98,4.53,3,3.99,3,0,10,5,5,0,0,3.87,3.73,0,0,0,0,0,0,0,62.063095,0,0,0,0,1
149,9,9,5,3.96,2,3,3.87,2,2.98,4.53,3,3.99,3,0,50,5,4,0,0,0,0,3.52,2.52,0,0,0,0,0,62.063095,0,0,1,0,1
150,9,10,5,3.96,2,3,3.87,2,2.98,4.53,3,3.99,3,0,75,5,2,0,0,0,0,3.52,2,0,0,0,0,0,62.063095,0,0,1,0,1
151,9,11,5,3.96,2,3,3.87,2,2.98,4.53,3,3.99,3,0,150,5,3,0,0,0,0,3.52,2.94,0,0,0,0,0,62.063095,0,0,1,0,1
152,9,12,5,3.96,2,3,3.87,2,2.98,4.53,3,3.99,3,0,75,5,5,0,0,0,0,3.52,3.11,0,0,0,0,0,62.063095,0,0,0,0,1
161,10,1,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,35,3,2,3.3,2.3,0,0,0,0,0,0,0,0,0,95.54054,0,0,0,0,1
164,10,4,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,150,3,2,3.3,2.6,0,0,0,0,0,0,0,0,0,95.54054,0,0,0,0,1
165,10,5,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,10,3,2,0,0,3.56,2.56,0,0,0,0,0,0,0,95.54054,0,0,1,0,1
168,10,8,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,400,3,2,0,0,3.56,3.08,0,0,0,0,0,0,0,95.54054,0,0,0,0,1
169,10,9,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,10,3,2,0,0,0,0,3.52,2.52,0,0,0,0,0,95.54054,0,0,1,0,1
172,10,12,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,400,3,2,0,0,0,0,3.52,3.11,0,0,0,0,0,95.54054,0,0,0,0,1
173,10,13,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,10,0,0,0,0,0,0,0,0,3.72,2.72,0,0,0,0,0,0,1,0,1
176,10,16,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,200,0,0,0,0,0,0,0,0,3.72,3.4,0,0,0,0,0,0,0,0,1
177,10,17,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,10,0,0,0,0,0,0,0,0,0,0,3.77,2.77,0,0,0,0,1,0,1
180,10,20,3,3.3,2,3,3.56,2,3,3.72,3,3.77,3,0,10,0,0,0,0,0,0,0,0,0,0,3.77,3.5,0,0,0,0,1,0,1
182,11,2,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,20,3,2,3.47,2,0,0,0,0,0,0,0,0,0,99.99979,0,0,1,0,1
183,11,3,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,35,3,3,3.47,3,0,0,0,0,0,0,0,0,0,99.99979,0,0,1,0,1
186,11,6,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,20,3,2,0,0,3.56,2,0,0,0,0,0,0,0,99.99979,0,0,1,0,1
187,11,7,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,10,3,3,0,0,3.56,3,0,0,0,0,0,0,0,99.99979,0,0,1,0,1
190,11,10,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,20,3,2,0,0,0,0,3.52,2,0,0,0,0,0,99.99979,0,0,1,0,1
191,11,11,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,75,3,3,0,0,0,0,3.52,2.94,0,0,0,0,0,99.99979,0,0,1,0,1
194,11,14,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,400,0,0,0,0,0,0,0,0,2.82,2,0,0,0,0,0,0,0,0,1
195,11,15,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,400,0,0,0,0,0,0,0,0,2.82,2.63,0,0,0,0,0,0,0,0,1
198,11,18,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,200,0,0,0,0,0,0,0,0,0,0,3.13,2,0,0,0,0,0,0,1
199,11,19,3,3.47,2,3,3.56,2,3,2.82,2.63,3.13,2.86,0,150,0,0,0,0,0,0,0,0,0,0,3.13,2.86,0,0,0,0,0,0,1
209,12,9,3,3,2,3,3.1,2,2.96,4.53,3,3.99,3,0,150,3,2,0,0,0,0,3.52,2.52,0,0,0,0,0,99.99991,0,0,0,0,1
210,12,10,3,3,2,3,3.1,2,2.96,4.53,3,3.99,3,0,200,3,2,0,0,0,0,3.52,2,0,0,0,0,0,99.99991,0,0,0,0,1
211,12,11,3,3,2,3,3.1,2,2.96,4.53,3,3.99,3,0,5,3,3,0,0,0,0,3.52,2.94,0,0,0,0,0,99.99991,0,0,1,0,1
212,12,12,3,3,2,3,3.1,2,2.96,4.53,3,3.99,3,0,75,3,2,0,0,0,0,3.52,3.11,0,0,0,0,0,99.99991,0,0,1,0,1
213,12,13,3,3,2,3,3.1,2,2.96,4.53,3,3.99,3,0,20,0,0,0,0,0,0,0,0,4.53,3.53,0,0,0,0,0,0,1,0,1
214,12,14,3,3,2,3,3.1,2,2.96,4.53,3,3.99,3,0,10,0,0,0,0,0,0,0,0,4.53,2,0,0,0,0,0,0,1,0,1
215,12,15,3,3,2,3,3.1,2,2.96,4.53,3,3.99,3,0,10,0,0,0,0,0,0,0,0,4.53,3,0,0,0,0,0,0,1,0,1
221,13,1,3,3.72,2,3,3.77,2,3,3.82,3,3.56,3,0,20,3,2,3.72,2.72,0,0,0,0,0,0,0,0,0,85.53905,0,0,1,0,1
222,13,2,3,3.72,2,3,3.77,2,3,3.82,3,3.56,3,0,20,3,2,3.72,2,0,0,0,0,0,0,0,0,0,85.53905,0,0,1,0,1
223,13,3,3,3.72,2,3,3.77,2,3,3.82,3,3.56,3,0,50,3,3,3.72,3,0,0,0,0,0,0,0,0,0,85.53905,0,0,1,0,1
224,13,4,3,3.72,2,3,3.77,2,3,3.82,3,3.56,3,0,35,3,2,3.72,3.4,0,0,0,0,0,0,0,0,0,85.53905,0,0,1,0,1
233,13,13,3,3.72,2,3,3.77,2,3,3.82,3,3.56,3,0,5,0,0,0,0,0,0,0,0,3.82,2.82,0,0,0,0,0,0,0,0,1
234,13,14,3,3.72,2,3,3.77,2,3,3.82,3,3.56,3,0,20,0,0,0,0,0,0,0,0,3.82,2,0,0,0,0,0,0,0,0,1
235,13,15,3,3.72,2,3,3.77,2,3,3.82,3,3.56,3,0,20,0,0,0,0,0,0,0,0,3.82,3,0,0,0,0,0,0,0,0,1
236,13,16,3,3.72,2,3,3.77,2,3,3.82,3,3.56,3,0,100,0,0,0,0,0,0,0,0,3.82,3.55,0,0,0,0,0,0,0,0,1
243,14,3,3,2.93,2,2.75,3.21,2,2.85,2.84,2.84,3.1,2.96,0,5,3,3,2.93,2.75,0,0,0,0,0,0,0,0,0,53.66411,0,0,1,0,1
244,14,4,3,2.93,2,2.75,3.21,2,2.85,2.84,2.84,3.1,2.96,0,100,3,2,2.93,2.36,0,0,0,0,0,0,0,0,0,53.66411,0,0,0,0,1
247,14,7,3,2.93,2,2.75,3.21,2,2.85,2.84,2.84,3.1,2.96,0,200,3,3,0,0,3.21,2.85,0,0,0,0,0,0,0,53.66411,0,0,0,0,1
248,14,8,3,2.93,2,2.75,3.21,2,2.85,2.84,2.84,3.1,2.96,0,35,3,2,0,0,3.21,2.72,0,0,0,0,0,0,0,53.66411,0,0,1,0,1
251,14,11,3,2.93,2,2.75,3.21,2,2.85,2.84,2.84,3.1,2.96,0,75,3,3,0,0,0,0,3.52,2.94,0,0,0,0,0,53.66411,0,0,0,0,1
252,14,12,3,2.93,2,2.75,3.21,2,2.85,2.84,2.84,3.1,2.96,0,35,3,2,0,0,0,0,3.52,3.11,0,0,0,0,0,53.66411,0,0,1,0,1
256,14,16,3,2.93,2,2.75,3.21,2,2.85,2.84,2.84,3.1,2.96,0,100,0,0,0,0,0,0,0,0,2.84,2,0,0,0,0,0,0,0,0,1
259,14,19,3,2.93,2,2.75,3.21,2,2.85,2.84,2.84,3.1,2.96,0,150,0,0,0,0,0,0,0,0,0,0,3.1,2.96,0,0,0,0,0,0,1
260,14,20,3,2.93,2,2.75,3.21,2,2.85,2.84,2.84,3.1,2.96,0,35,0,0,0,0,0,0,0,0,0,0,3.1,2.28,0,0,0,0,1,0,1
261,15,1,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,10,3,2,3.55,2.55,0,0,0,0,0,0,0,0,0,45.116894,0,0,1,0,1
262,15,2,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,5,3,2,3.55,2,0,0,0,0,0,0,0,0,0,45.116894,0,0,1,0,1
265,15,5,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,150,3,2,0,0,3.31,2.31,0,0,0,0,0,0,0,45.116894,0,0,1,0,1
266,15,6,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,200,3,2,0,0,3.31,2,0,0,0,0,0,0,0,45.116894,0,0,1,0,1
269,15,9,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,400,3,2,0,0,0,0,3.52,2.52,0,0,0,0,0,45.116894,0,0,0,0,1
270,15,10,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,5,3,2,0,0,0,0,3.52,2,0,0,0,0,0,45.116894,0,0,1,0,1
273,15,13,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,35,0,0,0,0,0,0,0,0,3.58,2.58,0,0,0,0,0,0,1,0,1
274,15,14,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,5,0,0,0,0,0,0,0,0,3.58,2,0,0,0,0,0,0,1,0,1
277,15,17,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,35,0,0,0,0,0,0,0,0,0,0,3.87,2.87,0,0,0,0,1,0,1
278,15,18,3,3.55,2,3,3.31,2,3,3.58,2.93,3.87,2.98,0,75,0,0,0,0,0,0,0,0,0,0,3.87,2,0,0,0,0,1,0,1
282,17,2,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,50,3,2,3,2,0,0,0,0,0,0,0,0,0,99.99991,0,0,1,0,1
284,17,4,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,50,3,2,3,2,0,0,0,0,0,0,0,0,0,99.99991,0,0,1,0,1
286,17,6,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,400,3,2,0,0,3.1,2,0,0,0,0,0,0,0,99.99991,0,0,0,0,1
288,17,8,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,150,3,2,0,0,3.1,2.28,0,0,0,0,0,0,0,99.99991,0,0,1,0,1
290,17,10,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,400,3,2,0,0,0,0,3.52,2,0,0,0,0,0,99.99991,0,0,1,0,1
292,17,12,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,200,3,2,0,0,0,0,3.52,3.11,0,0,0,0,0,99.99991,0,0,1,0,1
294,17,14,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,200,0,0,0,0,0,0,0,0,3.99,2,0,0,0,0,0,1.0040388,1,0,1
296,17,16,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,75,0,0,0,0,0,0,0,0,3.99,3.92,0,0,0,0,0,1.0040388,0,0,1
298,17,18,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,75,0,0,0,0,0,0,0,0,0,0,3.87,2,0,0,0,1.0040388,1,0,1
300,17,20,3,3,2,3,3.1,2,2.96,3.99,3,3.87,2.98,0,20,0,0,0,0,0,0,0,0,0,0,3.87,3.73,0,0,0,1.0040388,1,0,1
309,18,9,4,3.82,2,3,3.56,2,3,3,3,3.31,3,0,200,4,3,0,0,0,0,3.52,2.52,0,0,0,0,0,53.583557,0,0,0,0,1
310,18,10,4,3.82,2,3,3.56,2,3,3,3,3.31,3,0,35,4,2,0,0,0,0,3.52,2,0,0,0,0,0,53.583557,0,0,0,0,1
311,18,11,4,3.82,2,3,3.56,2,3,3,3,3.31,3,0,200,4,3,0,0,0,0,3.52,2.94,0,0,0,0,0,53.583557,0,0,0,0,1
312,18,12,4,3.82,2,3,3.56,2,3,3,3,3.31,3,0,50,4,4,0,0,0,0,3.52,3.11,0,0,0,0,0,53.583557,0,0,0,0,1
317,18,17,4,3.82,2,3,3.56,2,3,3,3,3.31,3,0,20,0,0,0,0,0,0,0,0,0,0,3.31,2.31,0,0,0,0,0,0,1
318,18,18,4,3.82,2,3,3.56,2,3,3,3,3.31,3,0,35,0,0,0,0,0,0,0,0,0,0,3.31,2,0,0,0,0,0,0,1
319,18,19,4,3.82,2,3,3.56,2,3,3,3,3.31,3,0,400,0,0,0,0,0,0,0,0,0,0,3.31,3,0,0,0,0,0,0,1
320,18,20,4,3.82,2,3,3.56,2,3,3,3,3.31,3,0,400,0,0,0,0,0,0,0,0,0,0,3.31,2.61,0,0,0,0,0,0,1
322,19,2,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,100,4,2,3.82,2,0,0,0,0,0,0,0,0,0,53.583557,0,0,1,0,1
323,19,3,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,35,4,3,3.82,3,0,0,0,0,0,0,0,0,0,53.583557,0,0,1,0,1
326,19,6,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,50,4,2,0,0,3.56,2,0,0,0,0,0,0,0,53.583557,0,0,1,0,1
327,19,7,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,75,4,3,0,0,3.56,3,0,0,0,0,0,0,0,53.583557,0,0,1,0,1
330,19,10,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,100,4,2,0,0,0,0,3.52,2,0,0,0,0,0,53.583557,0,0,1,0,1
331,19,11,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,35,4,3,0,0,0,0,3.52,2.94,0,0,0,0,0,53.583557,0,0,1,0,1
334,19,14,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,35,0,0,0,0,0,0,0,0,3.58,2,0,0,0,0,0,4.538144e-06,1,0,1
335,19,15,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,400,0,0,0,0,0,0,0,0,3.58,2.93,0,0,0,0,0,4.538144e-06,0,0,1
338,19,18,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,20,0,0,0,0,0,0,0,0,0,0,3.87,2,0,0,0,4.538144e-06,1,0,1
339,19,19,4,3.82,2,3,3.56,2,3,3.58,2.93,3.87,2.98,0,5,0,0,0,0,0,0,0,0,0,0,3.87,2.98,0,0,0,4.538144e-06,1,0,1
353,20,13,4,3.58,2,2.93,3.87,2,2.98,3,3,3.1,2.96,0,150,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1
354,20,14,4,3.58,2,2.93,3.87,2,2.98,3,3,3.1,2.96,0,100,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1
356,20,16,4,3.58,2,2.93,3.87,2,2.98,3,3,3.1,2.96,0,50,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1
357,20,17,4,3.58,2,2.93,3.87,2,2.98,3,3,3.1,2.96,0,50,0,0,0,0,0,0,0,0,0,0,3.1,2.1,0,0,0,0,0,0,1
358,20,18,4,3.58,2,2.93,3.87,2,2.98,3,3,3.1,2.96,0,100,0,0,0,0,0,0,0,0,0,0,3.1,2,0,0,0,0,0,0,1
